Item,Quantity,Avg Sold,avg Shipping,% Free Shipping,Link
Instax Mini Evo Instant Film Camera - Black,1,175.55,9.64,0.53,https://www.ebay.com/sch/i.html?_nkw=Instax+Mini+Evo+Instant+Film+Camera+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Sony Extra Bass Around Ear Wireless Headphone - Black (MDRXB950B1),1,61.69,7.76,0.54,https://www.ebay.com/sch/i.html?_nkw=Sony+Extra+Bass+Around+Ear+Wireless+Headphone+-+Black+(MDRXB950B1)&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
SteelSeries Arctis Nova 7 Wireless Gaming Headset for PC,1,107.14,12.23,0.67,https://www.ebay.com/sch/i.html?_nkw=SteelSeries+Arctis+Nova+7+Wireless+Gaming+Headset+for+PC&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Turtle Beach Stealth 600 Gen 2 MAX Wireless Gaming Headsets for Xbox Series X|S/Xbox One/PlayStation 4/5/Nintendo Switch/PC - Midnight Red,1,54.49,9.07,0.5,https://www.ebay.com/sch/i.html?_nkw=Turtle+Beach+Stealth+600+Gen+2+MAX+Wireless+Gaming+Headsets+for+Xbox+Series+X|S/Xbox+One/PlayStation+4/5/Nintendo+Switch/PC+-+Midnight+Red&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Anker MagGo 10000mAh Black Power Bank with LED Screen,1,45.93,5.49,0.85,https://www.ebay.com/sch/i.html?_nkw=Anker+MagGo+10000mAh+Black+Power+Bank+with+LED+Screen&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
JLab Studio Bluetooth Wireless On-Ear Headphones - Black,4,84.88,8.68,0.74,https://www.ebay.com/sch/i.html?_nkw=JLab+Studio+Bluetooth+Wireless+On-Ear+Headphones+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
DualShock 4 Wireless Controller for PlayStation 4 - Black,1,45.46,10.24,0.65,https://www.ebay.com/sch/i.html?_nkw=DualShock+4+Wireless+Controller+for+PlayStation+4+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
The Alfred Hitchcock Classics Collection (4K/UHD),1,46.55,11.12,0.52,https://www.ebay.com/sch/i.html?_nkw=The+Alfred+Hitchcock+Classics+Collection+(4K/UHD)&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Speck Apple iPhone 15 Pro Presidio 2 Pro with MagSafe - Coastal Blue,1,16.77,4.91,0.74,https://www.ebay.com/sch/i.html?_nkw=Speck+Apple+iPhone+15+Pro+Presidio+2+Pro+with+MagSafe+-+Coastal+Blue&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Assorted Electronics,1,22.29,13.87,0.81,https://www.ebay.com/sch/i.html?_nkw=Assorted+Electronics&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
True Bluetooth Wireless Earbuds - heyday™ Warm Gray,1,21.53,4.93,0.83,https://www.ebay.com/sch/i.html?_nkw=True+Bluetooth+Wireless+Earbuds+-+heyday™+Warm+Gray&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Speck Apple iPhone 15/iPhone 14/iPhone 13 Presidio 2 Grip Case with MagSafe - Black,1,17.06,4.76,0.82,https://www.ebay.com/sch/i.html?_nkw=Speck+Apple+iPhone+15/iPhone+14/iPhone+13+Presidio+2+Grip+Case+with+MagSafe+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
The Fall Guy (4K/UHD),1,27.7,6.04,0.53,https://www.ebay.com/sch/i.html?_nkw=The+Fall+Guy+(4K/UHD)&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
JLab Go Air Sport True Wireless Bluetooth Earbuds - Black,1,18.44,8.63,0.67,https://www.ebay.com/sch/i.html?_nkw=JLab+Go+Air+Sport+True+Wireless+Bluetooth+Earbuds+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Logitech Brio 100 1080p Webcam - Black,1,30.18,6.7,0.87,https://www.ebay.com/sch/i.html?_nkw=Logitech+Brio+100+1080p+Webcam+-+Black&LH_Sold=1&LH_Complete=1&rt=nc&LH_ItemCondition=1000
Total,775.66,124.07
Total Fees:,102.77
Est. Gross Profit:,548.82
